Kategorie A;12;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
Mazur;Dominik;Cyklistika pro všechny Krnov;0;0;0;35;0;0;50;38;35;0;54;44;0;0;0;0
Pìgøim;Filip;TJ T Tøinec;46;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0
Swaczyna;Tomáš;CK Feso Petøvald;0;60;0;0;0;42;0;44;50;0;0;54;0;50;55;46
Vahalík;Jan;Cyklokramo Suchdol nad Odrou;39;0;35;0;44;27;55;42;38;46;60;47;0;48;60;40
Winkler;Jakub;Cyklosport HF Opava-Bikestyle.cz;0;0;0;46;0;0;0;0;0;48;0;56;60;0;0;0
;;;;;;;;;;;;;;;;;;
Drustva;14;;;;;;;;;;;;;;;;;
pøíjmení;jméno;klub;Karlov;MJF;Slatina;KrnKrit;BohÈas;Krnov;VCFM;TdJ;MAD;GPF;Stonava;ML60;MJV;Petøvald;Kasárny;Paskov
ACK Stará Ves nad Ondøejnicí;;;98;110;119;130;97;71;114;107;104;105;103;136;146;119;77;118
CC La´DRACO;;;0;29;141;0;55;0;95;60;60;89;70;100;160;55;60;48
CK Continental Frenštát p. R.  1;;;131;127;37;118;126;80;147;109;90;67;147;92;153;97;94;90
CK Continental Frenštát p. R.  2;;;36;36;36;34;59;0;59;57;0;0;40;0;38;0;0;0
CK Feso Petøvald;;;0;158;127;124;140;115;0;124;127;83;160;145;86;144;151;140
CK Kolík Hobby Bohumín A;;;46;134;118;40;124;123;138;145;120;127;174;159;135;90;146;140
CK Kolík Hobby Bohumín B;;;0;68;38;0;125;35;63;65;0;70;90;83;0;0;75;0
CK Orlík Orlová;;;0;34;0;0;94;0;109;111;102;96;143;133;112;40;112;0
Cyklistika pro všechny Krnov;;;110;46;46;78;116;90;156;138;81;105;168;156;101;50;105;44
Cyklokramo Suchdol nad Odrou;;;123;128;139;140;139;125;152;134;129;138;140;161;146;153;150;139
Cykloservis MB;;;0;83;116;0;112;69;124;115;44;38;138;46;48;44;0;0
Cyklosport HF Opava-Bikestyle.cz;;;159;155;148;154;130;127;115;160;153;158;183;188;165;166;159;115
CZERNICA MASTERS;;;55;124;72;113;86;64;37;0;110;115;94;84;44;82;0;0
FORCE KCK ZLÍN;;;170;170;170;165;140;168;170;150;128;133;178;148;166;160;158;175
IN-LIFE Cycling Team/Puskinak.cz;;;94;95;89;0;50;99;0;0;23;74;0;0;0;0;0;0
KILPI RACING TEAM OSTRAVA ;;;144;113;129;108;132;87;151;129;111;104;170;118;139;125;139;138
Lowell Pro Šafrata Team Bohumín;;;0;33;50;0;81;108;0;36;0;33;44;39;0;0;0;0
Racing Olešná;;;0;46;67;0;115;80;143;0;112;103;170;131;0;0;0;0
SK Bagbike;;;94;125;146;42;135;76;131;101;100;135;170;186;145;154;137;105
Skvìlá kola;;;103;123;55;46;136;125;127;136;104;86;175;164;50;60;87;99
TJ T Tøinec;;;127;92;104;48;113;82;116;119;87;118;141;130;73;38;80;76
YOGI Racing Ostrava 1;;;0;107;130;88;137;117;149;146;135;92;188;171;94;48;152;42
YOGI Racing Ostrava 2;;;0;0;0;0;26;0;25;0;0;0;0;0;0;0;0;0
CK Kolík Hobby Bohumín C;;;0;0;0;0;0;0;24;29;24;27;39;35;34;0;28;0
