Kategorie A;13;;;;;;;;;;;;
pøíjmení;jméno;klub;Trispol;Olšovec;MJF;Ustroò;BohÈas;Krnov;Anna;ArcMit;VCL;Bahenec;C.C.
ÈUBOÒ;PETER;CK TURZOVKA;0;0;0;0;0;0;0;0;0;31;0
Daòhel;Mojmír;Cyklistika pro všechny Krnov;35;40;0;40;40;48;0;46;46;40;37
Frkal;Miroslav;Novatop Lapierre;0;0;0;0;0;37;0;0;0;0;0
Grussmann;Václav;CK Continental Frenštát p.R.  1;0;30;0;0;0;0;0;0;0;0;0
HAMÁÈEK;Jaroslav;Buldoci Rapotín;19;0;0;0;0;0;0;0;0;0;0
Hlavatík;Ladislav;"Racing Olešná ""A""";0;0;0;0;36;0;0;34;0;29;25
Holeš;Jiøí;"CK Kolík Hobby Bohumín ""A""";27;0;0;0;0;0;23;0;31;0;28
Hrazdílek;Alois;Renokov team;0;27;0;0;28;0;0;28;22;27;24
HUDEÈEK;Dušan;Jeseniètí Orli;28;0;0;0;0;0;0;0;0;0;0
Chmura;Petr;Team Forman Cinelli;0;29;0;0;0;33;30;33;32;36;34
Jakl;Jiøí;Triatlon klub Ostrava;21;32;0;30;31;30;11;32;30;0;27
JANKOWSKI;ALEKSANDER;DAR-BUD TEAM;0;0;0;0;26;0;0;30;0;0;23
Javora;Stanislav;Valach Bike Team;0;0;0;0;0;0;0;0;0;0;36
Kapala;Zygmund;;0;0;0;0;0;0;0;0;18;0;0
Kaszuba;Miroslav;"CK Kolík Hobby Bohumín ""B""";0;0;0;0;42;39;0;48;0;50;40
KOLENÈIK;MIROSLAV;CK TURZOVKA;0;0;0;0;0;0;0;0;0;28;0
Koneènı;Pavel;"CK Kolík Hobby Bohumín ""A""";34;36;0;0;33;36;42;0;44;39;35
